"effect_id","status","location"
"169","covered_by_stat_changes",""
"170","missing",""
"171","missing",""
"172","missing",""
"173","missing",""
"174","missing",""
"175","covered_by_stat_changes",""
"176","missing",""
"177","missing",""
"178","missing",""
"179","missing",""
"180","missing",""
"181","missing",""
"182","missing",""
"183","covered_by_stat_changes",""
"184","missing",""
"185","missing",""
"186","missing",""
"187","missing",""
"188","missing",""
"189","missing",""
"190","missing",""
"191","missing",""
"192","missing",""
"193","missing",""
"194","missing",""
"195","missing",""
"196","missing",""
"197","missing",""
"198","missing",""
"199","missing",""
"200","missing",""
"201","missing",""
"202","missing",""
"203","missing",""
"204","missing",""
"205","covered_by_stat_changes",""
"206","covered_by_stat_changes",""
"207","covered_by_stat_changes",""
"208","missing",""
"209","covered_by_stat_changes",""
"210","missing",""
"211","missing",""
"212","covered_by_stat_changes",""
"213","covered_by_stat_changes",""
"214","missing",""
"215","missing",""
"216","missing",""
"217","missing",""
"218","missing",""
"219","covered_by_stat_changes",""
"220","missing",""
"221","missing",""
"222","missing",""
"223","missing",""
"224","missing",""
"225","missing",""
"226","missing",""
"227","missing",""
"228","missing",""
"229","missing",""
"230","covered_by_stat_changes",""
"231","missing",""
"232","missing",""
"233","missing",""
"234","missing",""
"235","missing",""
"236","missing",""
"237","missing",""
"238","missing",""
"239","missing",""
"240","missing",""
"241","missing",""
"242","missing",""
"243","missing",""
"244","missing",""
"245","missing",""
"246","missing",""
"247","missing",""
"248","missing",""
"249","missing",""
"250","missing",""
"251","missing",""
"252","missing",""
"253","missing",""
"254","missing",""
"255","missing",""
"256","missing",""
"257","missing",""
"258","missing",""
"259","covered_by_stat_changes",""
"260","missing",""
"261","missing",""
"262","missing",""
"263","missing",""
"264","missing",""
"266","covered_by_stat_changes",""
"267","missing",""
"268","missing",""
"269","missing",""
"270","missing",""
"271","missing",""
"272","covered_by_stat_changes",""
"273","missing",""
"274","missing",""
"275","missing",""
"276","missing",""
"277","covered_by_stat_changes",""
"278","covered_by_stat_changes",""
"279","missing",""
"280","explicit","scripts/battle_system/battle_system.gml (lines ~580-660) and scripts/battle_moves_impls/battle_moves_impls.gml (meta-moves)"
"281","missing",""
"282","missing",""
"283","missing",""
"284","missing",""
"285","covered_by_stat_changes",""
"286","missing",""
"287","missing",""
"288","missing",""
"289","missing",""
"290","missing",""
"291","covered_by_stat_changes",""
"292","missing",""
"293","missing",""
"294","missing",""
"295","missing",""
"296","covered_by_stat_changes",""
"297","covered_by_stat_changes",""
"298","missing",""
"299","missing",""
"300","missing",""
"301","missing",""
"302","missing",""
"303","missing",""
"304","missing",""
"305","missing",""
"306","missing",""
"307","missing",""
"308","missing",""
"309","covered_by_stat_changes",""
"310","missing",""
"311","missing",""
"312","missing",""
"313","covered_by_stat_changes",""
"314","missing",""
"315","missing",""
"316","missing",""
"317","covered_by_stat_changes",""
"318","missing",""
"319","missing",""
"320","missing",""
"321","missing",""
"322","covered_by_stat_changes",""
"323","covered_by_stat_changes",""
"324","missing",""
"325","missing",""
"326","missing",""
"327","missing",""
"328","covered_by_stat_changes",""
"329","covered_by_stat_changes",""
"330","missing",""
"331","covered_by_stat_changes",""
"332","missing",""
"333","missing",""
"334","missing",""
"335","covered_by_stat_changes",""
"336","missing",""
"337","missing",""
"338","missing",""
"339","missing",""
"340","explicit","scripts/battle_system/battle_system.gml (lines ~580-660) and scripts/battle_moves_impls/battle_moves_impls.gml (meta-moves)"
"341","missing",""
"342","missing",""
"343","missing",""
"344","covered_by_stat_changes",""
"345","missing",""
"346","missing",""
"347","covered_by_stat_changes",""
"348","missing",""
"349","missing",""
"350","missing",""
"351","explicit","scripts/battle_system/battle_system.gml (lines ~580-660) and scripts/battle_moves_impls/battle_moves_impls.gml (meta-moves)"
"352","explicit","scripts/battle_system/battle_system.gml (lines ~580-660) and scripts/battle_moves_impls/battle_moves_impls.gml (meta-moves)"
"353","explicit","scripts/battle_system/battle_system.gml (lines ~580-660) and scripts/battle_moves_impls/battle_moves_impls.gml (meta-moves)"
"354","missing",""
"355","missing",""
"356","missing",""
"357","covered_by_stat_changes",""
"358","covered_by_stat_changes",""
"359","covered_by_stat_changes",""
"360","covered_by_stat_changes",""
"361","missing",""
"362","missing",""
"363","covered_by_stat_changes",""
"364","covered_by_stat_changes",""
"365","covered_by_stat_changes",""
"366","covered_by_stat_changes",""
"367","explicit","scripts/battle_system/battle_system.gml (lines ~580-660) and scripts/battle_moves_impls/battle_moves_impls.gml (meta-moves)"
"368","missing",""
"369","explicit","scripts/battle_system/battle_system.gml (lines ~580-660) and scripts/battle_moves_impls/battle_moves_impls.gml (meta-moves)"
"370","missing",""
"371","missing",""
"372","missing",""
"373","missing",""
"374","missing",""
"375","covered_by_stat_changes",""
"376","missing",""
"377","missing",""
"378","missing",""
"379","missing",""
"380","missing",""
"381","missing",""
"382","missing",""
"383","missing",""
"384","missing",""
"385","missing",""
"386","missing",""
"387","missing",""
"388","covered_by_stat_changes",""
"389","missing",""
"390","covered_by_stat_changes",""
"391","missing",""
"392","explicit","scripts/battle_system/battle_system.gml (lines ~580-660) and scripts/battle_moves_impls/battle_moves_impls.gml (meta-moves)"
"393","missing",""
"394","missing",""
"395","missing",""
"396","covered_by_stat_changes",""
"397","covered_by_stat_changes",""
"398","missing",""
"399","missing",""
"400","missing",""
"401","missing",""
"402","missing",""
"403","missing",""
"404","missing",""
"405","covered_by_stat_changes",""
"406","missing",""
"407","missing",""
"408","missing",""
"409","missing",""
"410","missing",""
"411","missing",""
"412","covered_by_stat_changes",""
"413","missing",""
"414","covered_by_stat_changes",""
"415","missing",""
"416","missing",""
"417","missing",""
"418","missing",""
"419","explicit","scripts/battle_system/battle_system.gml (lines ~580-660) and scripts/battle_moves_impls/battle_moves_impls.gml (meta-moves)"
"420","missing",""
"421","missing",""
"422","missing",""
"423","missing",""
"424","covered_by_stat_changes",""
"425","covered_by_stat_changes",""
"443","missing",""
"10001","missing",""
"10002","missing",""
"10003","missing",""
"10004","missing",""
"10005","missing",""
"10006","missing",""
