Pokemon,EV Yield
Bayleef,"1 Defense, 1 Sp. Def"
Beartic,2 Attack
Beautifly,3 Sp. Atk
Beedrill,"2 Attack, 1 Sp. Def"
Mega Beedrill,"2 Attack, 1 Sp. Def"
Beheeyem,2 Sp. Atk
Beldum,1 Defense
Bellibolt,2 HP
Bellossom,3 Sp. Def
Bellsprout,1 Attack
Bergmite,1 Defense
Bewear,2 Attack
Bibarel,2 Attack
Bidoof,1 HP
Binacle,1 Attack
Bisharp,2 Attack
Blacephalon,3 Sp. Atk
Blastoise,3 Sp. Def
Mega Blastoise,3 Sp. Def
Blaziken,3 Attack
Mega Blaziken,3 Attack
Blipbug,1 Sp. Def
Blissey,3 HP
Blitzle,1 Speed
Boldore,"1 Attack, 1 Defense"
Boltund,2 Speed
Bombirdier,2 Attack
Bonsly,1 Defense
Bouffalant,2 Attack
Bounsweet,1 HP
Braixen,2 Sp. Atk
Brambleghast,2 Attack
Bramblin,1 Attack
Braviary,2 Attack
Hisuian Braviary,2 Sp. Atk
Breloom,2 Attack
Brionne,2 Sp. Atk
Bronzong,"1 Defense, 1 Sp. Def"
Bronzor,1 Defense
Brute Bonnet,3 Attack
Bruxish,2 Attack
Budew,1 Sp. Atk
Buizel,1 Speed
Bulbasaur,1 Sp. Atk
Buneary,1 Speed
Bunnelby,1 Speed
Burmy Plant Cloak,1 Sp. Def
Burmy Sandy Cloak,1 Sp. Def
Burmy Trash Cloak,1 Sp. Def
Butterfree,"2 Sp. Atk, 1 Sp. Def"
Buzzwole,"1 Attack, 2 Defense"
Cacnea,1 Sp. Atk
Cacturne,"1 Attack, 1 Sp. Atk"
Calyrex,3 HP
Calyrex Ice Rider,3 Attack
Calyrex Shadow Rider,3 Sp. Atk
Camerupt,"1 Attack, 1 Sp. Atk"
Mega Camerupt,"1 Attack, 1 Sp. Atk"
Capsakid,1 Attack
Carbink,"1 Defense, 1 Sp. Def"
Carkol,2 Defense
Carnivine,2 Attack
Carracosta,2 Defense
Carvanha,1 Attack
Cascoon,2 Defense
Castform,1 HP
Castform Sunny Form,1 HP
Castform Rainy Form,1 HP
Castform Snowy Form,1 HP
Caterpie,1 HP
Celebi,3 HP
Celesteela,"1 Attack, 1 Defense, 1 Sp. Atk"
Centiskorch,2 Attack
Ceruledge,2 Attack
Cetitan,2 HP
Cetoddle,1 HP
Chandelure,3 Sp. Atk
Chansey,2 HP
Charcadet,1 Sp. Atk
Charizard,3 Sp. Atk
Mega Charizard X,3 Sp. Atk
Mega Charizard Y,3 Sp. Atk
Charjabug,2 Defense
Charmander,1 Speed
Charmeleon,"1 Sp. Atk, 1 Speed"
Chatot,1 Attack
Cherrim,2 Sp. Atk
Cherubi,1 Sp. Atk
Chesnaught,3 Defense
Chespin,1 Defense
Chewtle,1 Attack
Chi-Yu,3 Sp. Atk
Chien-Pao,3 Speed
Chikorita,1 Sp. Def
Chimchar,1 Speed
Chimecho,"1 Sp. Atk, 1 Sp. Def"
Chinchou,1 HP
Chingling,1 Sp. Atk
Cinccino,2 Speed
Cinderace,3 Speed
Clamperl,1 Defense
Clauncher,1 Sp. Atk
Clawitzer,2 Sp. Atk
Claydol,2 Sp. Def
Clefable,3 HP
Clefairy,2 HP
Cleffa,1 Sp. Def
Clobbopus,1 Attack
Clodsire,2 HP
Cloyster,2 Defense
Coalossal,3 Defense
Cobalion,3 Defense
Cofagrigus,2 Defense
Combee,1 Speed
Combusken,"1 Attack, 1 Sp. Atk"
Comfey,2 Sp. Def
Conkeldurr,3 Attack
Copperajah,2 Attack
Corphish,1 Attack
Corsola,"1 Defense, 1 Sp. Def"
Galarian Corsola,1 Sp. Def
Corviknight,3 Defense
Corvisquire,2 Speed
Cosmoem,"1 Defense, 1 Sp. Def"
Cosmog,1 HP
Cottonee,1 Speed
Crabominable,2 Attack
Crabrawler,1 Attack
Cradily,2 Sp. Def
Cramorant,2 Sp. Def
Cranidos,1 Attack
Crawdaunt,2 Attack
Cresselia,3 Sp. Def
Croagunk,1 Attack
Crobat,3 Speed
Crocalor,2 Sp. Atk
Croconaw,"1 Attack, 1 Defense"
Crustle,2 Defense
Cryogonal,2 Sp. Def
Cubchoo,1 Attack
Cubone,1 Defense
Cufant,1 Attack
Cursola,2 Sp. Atk
Cutiefly,1 Speed
Cyclizar,2 Speed
Cyndaquil,1 Speed
Dachsbun,2 Speed
Darkrai,"2 Sp. Atk, 1 Speed"
Darmanitan Standard Mode,2 Attack
Darmanitan Zen Mode,2 Sp. Atk
Darmanitan Galarian Standard Mode,2 Attack
Darmanitan Galarian Zen Mode,2 Sp. Atk
Dartrix,2 HP
Darumaka,1 Attack
Galarian Darumaka,1 Attack
Decidueye,3 Attack
Hisuian Decidueye,3 Attack
Dedenne,2 Speed
Deerling,1 Speed
Deino,1 Attack
Delcatty,"1 HP, 1 Speed"
Delibird,1 Speed
Delphox,3 Sp. Atk
Deoxys Normal Forme,"1 Attack, 1 Sp. Atk, 1 Speed"
Deoxys Attack Forme,"2 Attack, 1 Sp. Atk"
Deoxys Defense Forme,"2 Defense, 1 Sp. Def"
Deoxys Speed Forme,3 Speed
Dewgong,2 Sp. Def
Dewott,2 Sp. Atk
Dewpider,1 Sp. Def
Dhelmise,2 Attack
Dialga,3 Sp. Atk
Dialga Origin Forme,3 Sp. Atk
Diancie,"1 Defense, 2 Sp. Def"
Mega Diancie,"1 Defense, 2 Sp. Def"
Diggersby,2 HP
Diglett,1 Speed
Alolan Diglett,1 Speed
Dipplin,2 Defense
Ditto,1 HP
Dodrio,2 Attack
Doduo,1 Attack
Dolliv,2 Sp. Atk
Dondozo,3 HP
Donphan,"1 Attack, 1 Defense"
Dottler,2 Sp. Def
Doublade,2 Defense
Dracovish,2 Defense
Dracozolt,2 Attack
Dragalge,2 Sp. Def
Dragapult,3 Speed
Dragonair,2 Attack
Dragonite,3 Attack
Drakloak,2 Speed
Drampa,2 Sp. Atk
Drapion,2 Defense
Dratini,1 Attack
Drednaw,2 Attack
Dreepy,1 Speed
Drifblim,2 HP
Drifloon,1 HP
Drilbur,1 Attack
Drizzile,2 Sp. Atk
Drowzee,1 Sp. Def
Druddigon,2 Attack
Dubwool,2 Defense
Ducklett,1 HP
Dudunsparce Two-Segment Form,2 HP
Dudunsparce Three-Segment Form,2 HP
Dugtrio,2 Speed
Alolan Dugtrio,2 Attack
Dunsparce,1 HP
Duosion,2 Sp. Atk
Duraludon,2 Sp. Atk
Durant,2 Defense
Dusclops,"1 Defense, 1 Sp. Def"
Dusknoir,"1 Defense, 2 Sp. Def"
Duskull,1 Sp. Def
Dustox,3 Sp. Def
Dwebble,1 Defense
Eelektrik,2 Attack
Eelektross,3 Attack
Eevee,1 Sp. Def
Partner Eevee,1 Sp. Def
Eiscue Ice Face,2 Defense
Eiscue Noice Face,2 Defense
Ekans,1 Attack
Eldegoss,2 Sp. Def
Electabuzz,2 Speed
Electivire,3 Attack
Electrike,1 Speed
Electrode,2 Speed
Hisuian Electrode,2 Speed
Elekid,1 Speed
Elgyem,1 Sp. Atk
Emboar,3 Attack
Emolga,2 Speed
Empoleon,3 Sp. Atk
Enamorus Incarnate Forme,3 Sp. Atk
Enamorus Therian Forme,3 Sp. Atk
Entei,"1 HP, 2 Attack"
Escavalier,2 Attack
Espathra,2 Speed
Espeon,2 Sp. Atk
Espurr,1 Speed
Eternatus,3 HP
Eternatus Eternamax,3 HP
Excadrill,2 Attack
Exeggcute,1 Defense
Exeggutor,2 Sp. Atk
Alolan Exeggutor,2 Sp. Atk
Exploud,3 HP
Falinks,"2 Attack, 1 Sp. Def"
Farfetch'd,1 Attack
Galarian Farfetch'd,1 Attack
Farigiraf,3 HP
Fearow,2 Speed
Feebas,1 Speed
Fennekin,1 Sp. Atk
Feraligatr,"2 Attack, 1 Defense"
Ferroseed,1 Defense
Ferrothorn,2 Defense
Fezandipiti,3 Sp. Def
Fidough,1 Speed
Finizen,1 Speed
Finneon,1 Speed
Flaaffy,2 Sp. Atk
Flabébé,1 Sp. Def
Flamigo,2 Attack
Flapple,2 Attack
Flareon,2 Attack
Fletchinder,2 Speed
Fletchling,1 Speed
Flittle,1 Speed
Floatzel,2 Speed
Floette,2 Sp. Def
Floragato,2 Speed
Florges,3 Sp. Def
Flutter Mane,"1 Sp. Atk, 1 Sp. Def, 1 Speed"
Flygon,"1 Attack, 2 Speed"
Fomantis,1 Attack
Foongus,1 HP
Forretress,2 Defense
Fraxure,2 Attack
Frigibax,1 Attack
Frillish,1 Sp. Def
Froakie,1 Speed
Frogadier,2 Speed
Froslass,2 Speed
Frosmoth,2 Sp. Atk
Fuecoco,1 HP
Furfrou,1 Speed
Furret,2 Speed
Gabite,2 Attack
Gallade,3 Attack
Mega Gallade,3 Attack
Galvantula,2 Speed
Garbodor,2 Attack
Garchomp,3 Attack
Mega Garchomp,3 Attack
Gardevoir,3 Sp. Atk
Mega Gardevoir,3 Sp. Atk
Garganacl,3 Defense
Gastly,1 Sp. Atk
Gastrodon,2 HP
Genesect,"1 Attack, 1 Sp. Atk, 1 Speed"
Gengar,3 Sp. Atk
Mega Gengar,3 Sp. Atk
Geodude,1 Defense
Alolan Geodude,1 Defense
Gholdengo,2 Sp. Atk
Gible,1 Attack
Gigalith,3 Attack
Gimmighoul Chest Form,1 Sp. Atk
Gimmighoul Roaming Form,1 Sp. Atk
Girafarig,2 Sp. Atk
Giratina Altered Forme,3 HP
Giratina Origin Forme,3 HP
Glaceon,2 Sp. Atk
Glalie,2 HP
Mega Glalie,2 HP
Glameow,1 Speed
Glastrier,3 Attack
Gligar,1 Defense
Glimmet,1 Sp. Atk
Glimmora,2 Sp. Atk
Gliscor,2 Defense
Gloom,2 Sp. Atk
Gogoat,2 HP
Golbat,2 Speed
Goldeen,1 Attack
Golduck,2 Sp. Atk
Golem,3 Defense
Alolan Golem,3 Defense
Golett,1 Attack
Golisopod,2 Defense
Golurk,2 Attack
Goodra,3 Sp. Def
Hisuian Goodra,3 Sp. Def
Goomy,1 Sp. Def
Gorebyss,2 Sp. Atk
Gossifleur,1 Sp. Def
Gothita,1 Sp. Def
Gothitelle,3 Sp. Def
Gothorita,2 Sp. Def
Gouging Fire,3 Defense
Gourgeist Average Size,2 Defense
Gourgeist Small Size,2 Defense
Gourgeist Large Size,2 Defense
Gourgeist Super Size,2 Defense
Grafaiai,2 Speed
Granbull,2 Attack
Grapploct,2 Attack
Graveler,2 Defense
Alolan Graveler,2 Defense
Great Tusk,3 Attack
Greavard,1 Attack
Greedent,2 HP
Greninja,3 Speed
Ash-Greninja,3 Speed
Grimer,1 HP
Alolan Grimer,1 HP
Grimmsnarl,3 Attack
Grookey,1 Attack
Grotle,"1 Attack, 1 Defense"
Groudon,3 Attack
Primal Groudon,3 Attack
Grovyle,2 Speed
Growlithe,1 Attack
Hisuian Growlithe,1 Attack
Grubbin,1 Attack
Grumpig,2 Sp. Def
Gulpin,1 HP
Gumshoos,2 Attack
Gurdurr,2 Attack
Guzzlord,3 HP
Gyarados,2 Attack
Mega Gyarados,2 Attack
Hakamo-o,2 Defense
Happiny,1 HP
Hariyama,2 HP
Hatenna,1 Sp. Atk
Hatterene,3 Sp. Atk
Hattrem,2 Sp. Atk
Haunter,2 Sp. Atk
Hawlucha,2 Attack
Haxorus,3 Attack
Heatmor,2 Sp. Atk
Heatran,3 Sp. Atk
Heliolisk,"1 Sp. Atk, 1 Speed"
Helioptile,1 Speed
Heracross,2 Attack
Mega Heracross,2 Attack
Herdier,2 Attack
Hippopotas,1 Defense
Hippowdon,2 Defense
Hitmonchan,2 Sp. Def
Hitmonlee,2 Attack
Hitmontop,2 Sp. Def
Ho-oh,3 Sp. Def
Honchkrow,2 Attack
Honedge,1 Defense
Hoopa Confined,3 Sp. Atk
Hoopa Unbound,3 Sp. Atk
Hoothoot,1 HP
Hoppip,1 Sp. Def
Horsea,1 Sp. Atk
Houndoom,2 Sp. Atk
Mega Houndoom,2 Sp. Atk
Houndour,1 Sp. Atk
Houndstone,2 Attack
Huntail,"1 Attack, 1 Defense"
Hydrapple,3 Sp. Atk
Hydreigon,3 Sp. Atk
Hypno,2 Sp. Def
Igglybuff,1 HP
Illumise,1 Speed
Impidimp,1 Sp. Atk
Incineroar,3 Attack
Indeedee Male,2 Sp. Atk
Indeedee Female,2 Sp. Def
Infernape,"1 Attack, 1 Sp. Atk, 1 Speed"
Inkay,1 Attack
Inteleon,3 Speed
Iron Boulder,3 Speed
Iron Bundle,3 Speed
Iron Crown,3 Sp. Atk
Iron Hands,3 Attack
Iron Jugulis,3 Sp. Atk
Iron Leaves,3 Attack
Iron Moth,3 Sp. Atk
Iron Thorns,3 Attack
Iron Treads,3 Defense
Iron Valiant,3 Attack
Ivysaur,"1 Sp. Atk, 1 Sp. Def"
Jangmo-o,1 Defense
Jellicent,2 Sp. Def
Jigglypuff,2 HP
Jirachi,3 HP
Jolteon,2 Speed
Joltik,1 Speed
Jumpluff,3 Speed
Jynx,2 Sp. Atk
Kabuto,1 Defense
Kabutops,2 Attack
Kadabra,2 Sp. Atk
Kakuna,2 Defense
Kangaskhan,2 HP
Mega Kangaskhan,2 HP
Karrablast,1 Attack
Kartana,3 Attack
Kecleon,1 Sp. Def
Keldeo Ordinary Form,3 Sp. Atk
Keldeo Resolute Form,3 Sp. Atk
Kilowattrel,2 Speed
Kingambit,3 Attack
Kingdra,"1 Attack, 1 Sp. Atk, 1 Sp. Def"
Kingler,2 Attack
Kirlia,2 Sp. Atk
Klang,2 Defense
Klawf,2 Defense
Kleavor,3 Attack
Klefki,1 Defense
Klink,1 Defense
Klinklang,3 Defense
Koffing,1 Defense
Komala,2 Attack
Kommo-o,3 Defense
Koraidon,3 Attack
Krabby,1 Attack
Kricketot,1 Defense
Kricketune,2 Attack
Krokorok,2 Attack
Krookodile,3 Attack
Kubfu,1 Attack
Kyogre,3 Sp. Atk
Primal Kyogre,3 Sp. Atk
Kyurem,"1 HP, 1 Attack, 1 Sp. Atk"
White Kyurem,3 Sp. Atk
Black Kyurem,3 Attack
Lairon,2 Defense
Lampent,2 Sp. Atk
Landorus Incarnate Forme,3 Sp. Atk
Landorus Therian Forme,3 Attack
Lanturn,2 HP
Lapras,2 HP
Larvesta,1 Attack
Larvitar,1 Attack
Latias,3 Sp. Def
Mega Latias,3 Sp. Def
Latios,3 Sp. Atk
Mega Latios,3 Sp. Atk
Leafeon,2 Defense
Leavanny,3 Attack
Lechonk,1 HP
Ledian,2 Sp. Def
Ledyba,1 Sp. Def
Lickilicky,3 HP
Lickitung,2 HP
Liepard,2 Speed
Lileep,1 Sp. Def
Lilligant,2 Sp. Atk
Hisuian Lilligant,"1 Attack, 1 Speed"
Lillipup,1 Attack
Linoone,2 Speed
Galarian Linoone,2 Speed
Litleo,1 Sp. Atk
Litten,1 Speed
Litwick,1 Sp. Atk
Lokix,2 Attack
Lombre,2 Sp. Def
Lopunny,2 Speed
Mega Lopunny,2 Speed
Lotad,1 Sp. Def
Loudred,2 HP
Lucario,"1 Attack, 1 Sp. Atk"
Mega Lucario,"1 Attack, 1 Sp. Atk"
Ludicolo,3 Sp. Def
Lugia,3 Sp. Def
Lumineon,2 Speed
Lunala,3 Sp. Atk
Lunatone,2 Sp. Atk
Lurantis,2 Attack
Luvdisc,1 Speed
Luxio,2 Attack
Luxray,3 Attack
Lycanroc Midday Form,2 Attack
Lycanroc Midnight Form,2 Attack
Lycanroc Dusk Form,2 Attack
Mabosstiff,2 Attack
Machamp,3 Attack
Machoke,2 Attack
Machop,1 Attack
Magby,1 Speed
Magcargo,2 Defense
Magearna,3 Sp. Atk
Magikarp,1 Speed
Magmar,2 Sp. Atk
Magmortar,3 Sp. Atk
Magnemite,1 Sp. Atk
Magneton,2 Sp. Atk
Magnezone,3 Sp. Atk
Makuhita,1 HP
Malamar,2 Attack
Mamoswine,3 Attack
Manaphy,3 HP
Mandibuzz,2 Sp. Atk
Manectric,2 Speed
Mega Manectric,2 Speed
Mankey,1 Attack
Mantine,2 Sp. Def
Mantyke,1 Sp. Def
Maractus,2 Sp. Atk
Mareanie,1 Defense
Mareep,1 Sp. Atk
Marill,2 HP
Marowak,2 Defense
Alolan Marowak,2 Defense
Marshadow,"2 Attack, 1 Speed"
Marshtomp,2 Attack
Maschiff,1 Attack
Masquerain,"1 Sp. Atk, 1 Sp. Def"
Maushold Family of Four,2 Speed
Maushold Family of Three,2 Speed
Mawile,"1 Attack, 1 Defense"
Mega Mawile,"1 Attack, 1 Defense"
Medicham,2 Speed
Mega Medicham,2 Speed
Meditite,1 Speed
Meganium,"1 Defense, 2 Sp. Def"
Melmetal,3 Attack
Meloetta Aria Forme,"1 Sp. Atk, 1 Sp. Def, 1 Speed"
Meloetta Pirouette Forme,"1 Attack, 1 Defense, 1 Speed"
Meltan,1 Attack
Meowscarada,3 Speed
Meowstic Male,2 Speed
Meowstic Female,2 Speed
Meowth,1 Speed
Alolan Meowth,1 Speed
Galarian Meowth,1 Attack
Mesprit,"1 Attack, 1 Sp. Atk, 1 Sp. Def"
Metagross,3 Defense
Mega Metagross,3 Defense
Metang,2 Defense
Metapod,2 Defense
Mew,3 HP
Mewtwo,3 Sp. Atk
Mega Mewtwo X,3 Sp. Atk
Mega Mewtwo Y,3 Sp. Atk
Mienfoo,1 Attack
Mienshao,2 Attack
Mightyena,2 Attack
Milcery,1 Sp. Def
Milotic,2 Sp. Def
Miltank,2 Defense
Mime Jr.,1 Sp. Def
Mimikyu,2 Sp. Def
Minccino,1 Speed
Minior Meteor Form,"1 Defense, 1 Sp. Def"
Minior Core Form,"1 Attack, 1 Sp. Atk"
Minun,1 Speed
Miraidon,3 Sp. Atk
Misdreavus,1 Sp. Def
Mismagius,"1 Sp. Atk, 1 Sp. Def"
Moltres,3 Sp. Atk
Galarian Moltres,3 Sp. Def
Monferno,"1 Sp. Atk, 1 Speed"
Morelull,1 Sp. Def
Morgrem,2 Sp. Atk
Morpeko Full Belly Mode,2 Speed
Morpeko Hangry Mode,2 Speed
Mothim,"1 Attack, 1 Sp. Atk"
Mr. Mime,2 Sp. Def
Galarian Mr. Mime,2 Speed
Mr. Rime,3 Sp. Atk
Mudbray,1 Attack
Mudkip,1 Attack
Mudsdale,2 Attack
Muk,"1 HP, 1 Attack"
Alolan Muk,"1 HP, 1 Attack"
Munchlax,1 HP
Munkidori,3 Sp. Atk
Munna,1 HP
Murkrow,1 Speed
Musharna,2 HP
Nacli,1 Defense
Naclstack,2 Defense
Naganadel,3 Sp. Atk
Natu,1 Sp. Atk
Necrozma,"1 Attack, 2 Sp. Atk"
Dusk Mane Necrozma,3 Attack
Dawn Wings Necrozma,3 Sp. Atk
Ultra Necrozma,"1 Attack, 1 Sp. Atk, 1 Speed"
Nickit,1 Sp. Def
Nidoking,3 Attack
Nidoqueen,3 HP
Nidoran♀ (female) Nidoran♀,1 HP
Nidoran♂ (male) Nidoran♂,1 Attack
Nidorina,2 HP
Nidorino,2 Attack
Nihilego,3 Sp. Def
Nincada,1 Defense
Ninetales,"1 Sp. Def, 1 Speed"
Alolan Ninetales,2 Speed
Ninjask,2 Speed
Noctowl,2 HP
Noibat,1 Speed
Noivern,2 Speed
Nosepass,1 Defense
Numel,1 Sp. Atk
Nuzleaf,2 Attack
Nymble,1 Attack
Obstagoon,3 Defense
Octillery,"1 Attack, 1 Sp. Atk"
Oddish,1 Sp. Atk
Ogerpon Teal Mask,3 Attack
Ogerpon Wellspring Mask,3 Attack
Ogerpon Hearthflame Mask,3 Attack
Ogerpon Cornerstone Mask,3 Attack
Oinkologne Male,2 HP
Oinkologne Female,2 HP
Okidogi,3 Attack
Omanyte,1 Defense
Omastar,2 Defense
Onix,1 Defense
Oranguru,2 Sp. Def
Orbeetle,3 Sp. Def
Oricorio Baile Style,2 Sp. Atk
Oricorio Pom-Pom Style,2 Sp. Atk
Oricorio Pa'u Style,2 Sp. Atk
Oricorio Sensu Style,2 Sp. Atk
Orthworm,2 Defense
Oshawott,1 Sp. Atk
Overqwil,2 Attack
Pachirisu,1 Speed
Palafin Zero Form,2 HP
Palafin Hero Form,2 HP
Palkia,3 Sp. Atk
Palkia Origin Forme,3 Sp. Atk
Palossand,2 Defense
Palpitoad,2 HP
Pancham,1 Attack
Pangoro,2 Attack
Panpour,1 Speed
Pansage,1 Speed
Pansear,1 Speed
Paras,1 Attack
Parasect,"2 Attack, 1 Defense"
Passimian,2 Attack
Patrat,1 Attack
Pawmi,1 Speed
Pawmo,2 Speed
Pawmot,3 Attack
Pawniard,1 Attack
Pecharunt,3 Defense
Pelipper,2 Defense
Perrserker,2 Attack
Persian,2 Speed
Alolan Persian,2 Speed
Petilil,1 Sp. Atk
Phanpy,1 HP
Phantump,1 Attack
Pheromosa,3 Speed
Phione,1 HP
Pichu,1 Speed
Pidgeot,3 Speed
Mega Pidgeot,3 Speed
Pidgeotto,2 Speed
Pidgey,1 Speed
Pidove,1 Attack
Pignite,2 Attack
Pikachu,2 Speed
Partner Pikachu,2 Speed
Pikipek,1 Attack
Piloswine,"1 HP, 1 Attack"
Pincurchin,2 Attack
Pineco,1 Defense
Pinsir,2 Attack
Mega Pinsir,2 Attack
Piplup,1 Sp. Atk
Plusle,1 Speed
Poipole,1 Speed
Politoed,3 Sp. Def
Poliwag,1 Speed
Poliwhirl,2 Speed
Poliwrath,3 Defense
Poltchageist,1 Sp. Atk
Polteageist,2 Sp. Atk
Ponyta,1 Speed
Galarian Ponyta,1 Speed
Poochyena,1 Attack
Popplio,1 Sp. Atk
Porygon,1 Sp. Atk
Porygon-Z,3 Sp. Atk
Porygon2,2 Sp. Atk
Primarina,3 Sp. Atk
Primeape,2 Attack
Prinplup,2 Sp. Atk
Probopass,"1 Defense, 2 Sp. Def"
Psyduck,1 Sp. Atk
Pumpkaboo Average Size,1 Defense
Pumpkaboo Small Size,1 Defense
Pumpkaboo Large Size,1 Defense
Pumpkaboo Super Size,1 Defense
Pupitar,2 Attack
Purrloin,1 Speed
Purugly,2 Speed
Pyroar,2 Sp. Atk
Pyukumuku,2 Sp. Def
Quagsire,2 HP
Quaquaval,3 Attack
Quaxly,1 Attack
Quaxwell,2 Attack
Quilava,"1 Sp. Atk, 1 Speed"
Quilladin,2 Defense
Qwilfish,1 Attack
Hisuian Qwilfish,1 Attack
Raboot,2 Speed
Rabsca,2 Sp. Atk
Raging Bolt,3 Sp. Atk
Raichu,3 Speed
Alolan Raichu,3 Speed
Raikou,"1 Sp. Atk, 2 Speed"
Ralts,1 Sp. Atk
Rampardos,2 Attack
Rapidash,2 Speed
Galarian Rapidash,2 Speed
Raticate,2 Speed
Alolan Raticate,2 Speed
Rattata,1 Speed
Alolan Rattata,1 Speed
Rayquaza,"2 Attack, 1 Sp. Atk"
Mega Rayquaza,"2 Attack, 1 Sp. Atk"
Regice,3 Sp. Def
Regidrago,3 HP
Regieleki,3 Speed
Regigigas,3 Attack
Regirock,3 Defense
Registeel,"2 Defense, 1 Sp. Def"
Relicanth,"1 HP, 1 Defense"
Rellor,1 Defense
Remoraid,1 Sp. Atk
Reshiram,3 Sp. Atk
Reuniclus,3 Sp. Atk
Revavroom,2 Attack
Rhydon,2 Attack
Rhyhorn,1 Defense
Rhyperior,3 Attack
Ribombee,2 Speed
Rillaboom,3 Attack
Riolu,1 Attack
Roaring Moon,3 Attack
Rockruff,1 Attack
Own Tempo Rockruff,1 Attack
Roggenrola,1 Defense
Rolycoly,1 Defense
Rookidee,1 Speed
Roselia,2 Sp. Atk
Roserade,3 Sp. Atk
Rotom,"1 Sp. Atk, 1 Speed"
Heat Rotom,"1 Sp. Atk, 1 Speed"
Wash Rotom,"1 Sp. Atk, 1 Speed"
Frost Rotom,"1 Sp. Atk, 1 Speed"
Fan Rotom,"1 Sp. Atk, 1 Speed"
Mow Rotom,"1 Sp. Atk, 1 Speed"
Rowlet,1 HP
Rufflet,1 Attack
Runerigus,2 Defense
Sableye,"1 Attack, 1 Defense"
Mega Sableye,"1 Attack, 1 Defense"
Salamence,3 Attack
Mega Salamence,3 Attack
Salandit,1 Speed
Salazzle,2 Speed
Samurott,3 Sp. Atk
Hisuian Samurott,3 Attack
Sandaconda,2 Defense
Sandile,1 Attack
Sandshrew,1 Defense
Alolan Sandshrew,1 Defense
Sandslash,2 Defense
Alolan Sandslash,2 Defense
Sandy Shocks,3 Sp. Atk
Sandygast,1 Defense
Sawk,2 Attack
Sawsbuck,2 Attack
Scatterbug,1 Defense
Sceptile,3 Speed
Mega Sceptile,3 Speed
Scizor,2 Attack
Mega Scizor,2 Attack
Scolipede,3 Speed
Scorbunny,1 Speed
Scovillain,2 Attack
Scrafty,"1 Defense, 1 Sp. Def"
Scraggy,1 Attack
Scream Tail,3 HP
Scyther,1 Attack
Seadra,"1 Defense, 1 Sp. Atk"
Seaking,2 Attack
Sealeo,2 HP
Seedot,1 Defense
Seel,1 Sp. Def
Seismitoad,3 HP
Sentret,1 Attack
Serperior,3 Speed
Servine,2 Speed
Seviper,"1 Attack, 1 Sp. Atk"
Sewaddle,1 Defense
Sharpedo,2 Attack
Mega Sharpedo,2 Attack
Shaymin Land Forme,3 HP
Shaymin Sky Forme,3 Speed
Shedinja,2 HP
Shelgon,2 Defense
Shellder,1 Defense
Shellos,1 HP
Shelmet,1 Defense
Shieldon,1 Defense
Shiftry,3 Attack
Shiinotic,2 Sp. Def
Shinx,1 Attack
Shroodle,1 Speed
Shroomish,1 HP
Shuckle,"1 Defense, 1 Sp. Def"
Shuppet,1 Attack
Sigilyph,2 Sp. Atk
Silcoon,2 Defense
Silicobra,1 Defense
Silvally,3 HP
Simipour,2 Speed
Simisage,2 Speed
Simisear,2 Speed
Sinistcha,2 Sp. Atk
Sinistea,1 Sp. Atk
Sirfetch'd,2 Attack
Sizzlipede,1 Attack
